[eval]        default frozen:  90.0% +/- 3.3 (13.2s)
[eval]        default  adapt:  90.0% +/- 10.0 (17.6s)
[eval]       low_mass frozen:  96.7% +/- 3.3 (9.2s)
[eval]       low_mass  adapt: 100.0% +/- 0.0 (6.7s)
[eval]   high_damping frozen:  53.3% +/- 6.7 (25.6s)
[eval]   high_damping  adapt:  63.3% +/- 3.3 (30.1s)
[eval]           blur frozen:  80.0% +/- 6.7 (10.3s)
[eval]           blur  adapt:  83.3% +/- 3.3 (13.3s)
[eval]            snp frozen:  90.0% +/- 10.0 (9.5s)
[eval]            snp  adapt:  93.3% +/- 6.7 (12.4s)
[eval]           dark frozen:  70.0% +/- 3.3 (14.0s)
[eval]           dark  adapt:  83.3% +/- 3.3 (18.8s)
[eval]      red_agent frozen:  20.0% +/- 0.0 (25.4s)
[eval]      red_agent  adapt:  33.3% +/- 6.7 (33.5s)
wrote runs/suite_cem.json
[eval]        default frozen:  70.0% +/- 3.3 (212.5s)
[eval]        default  adapt:  66.7% +/- 0.0 (177.2s)
[eval]   high_damping frozen:  13.3% +/- 0.0 (5276.9s)
[eval]   high_damping  adapt:  26.7% +/- 6.7 (366.7s)
[eval]      red_agent frozen:  13.3% +/- 0.0 (354.0s)
[eval]      red_agent  adapt:  23.3% +/- 3.3 (320.0s)
wrote runs/suite_gd.json
[train] step=6500 epoch=6 loss=0.4832 pred=0.0004 embed_std=0.682
[train] step=6600 epoch=6 loss=0.4835 pred=0.0003 embed_std=0.683
[train] step=6700 epoch=6 loss=0.4888 pred=0.0003 embed_std=0.686
[train] step=6800 epoch=6 loss=0.4802 pred=0.0003 embed_std=0.686
[train] step=6900 epoch=6 loss=0.4835 pred=0.0004 embed_std=0.679
[train] step=7000 epoch=6 loss=0.4780 pred=0.0003 embed_std=0.682
[train] step=7100 epoch=6 loss=0.4841 pred=0.0003 embed_std=0.681
[train] step=7200 epoch=6 loss=0.4963 pred=0.0002 embed_std=0.676
[train] step=7300 epoch=6 loss=0.4875 pred=0.0003 embed_std=0.680
[train] step=7400 epoch=7 loss=0.4893 pred=0.0004 embed_std=0.677
[train] step=7500 epoch=7 loss=0.4750 pred=0.0002 embed_std=0.692
[train] step=7600 epoch=7 loss=0.4771 pred=0.0002 embed_std=0.683
[train] step=7700 epoch=7 loss=0.4850 pred=0.0003 embed_std=0.685
[train] step=7800 epoch=7 loss=0.4966 pred=0.0002 embed_std=0.682
[train] step=7900 epoch=7 loss=0.4923 pred=0.0002 embed_std=0.682
[train] step=8000 epoch=7 loss=0.5015 pred=0.0004 embed_std=0.675
[train] step=8100 epoch=7 loss=0.5042 pred=0.0001 embed_std=0.683
[train] step=8200 epoch=7 loss=0.4835 pred=0.0005 embed_std=0.684
[train] step=8300 epoch=7 loss=0.4858 pred=0.0002 embed_std=0.680
[train] step=8400 epoch=8 loss=0.4721 pred=0.0003 embed_std=0.690
[train] step=8500 epoch=8 loss=0.4901 pred=0.0002 embed_std=0.677
[train] step=8600 epoch=8 loss=0.4944 pred=0.0003 embed_std=0.687
[train] step=8700 epoch=8 loss=0.4877 pred=0.0002 embed_std=0.685
[train] step=8800 epoch=8 loss=0.4821 pred=0.0003 embed_std=0.684
[train] step=8900 epoch=8 loss=0.4757 pred=0.0003 embed_std=0.685
[train] step=9000 epoch=8 loss=0.4879 pred=0.0002 embed_std=0.689
[train] step=9100 epoch=8 loss=0.4839 pred=0.0001 embed_std=0.679
[train] step=9200 epoch=8 loss=0.4834 pred=0.0001 embed_std=0.686
[train] step=9300 epoch=8 loss=0.4919 pred=0.0003 embed_std=0.685
[train] step=9400 epoch=8 loss=0.4884 pred=0.0003 embed_std=0.680
[train] step=9500 epoch=9 loss=0.4959 pred=0.0004 embed_std=0.674
[train] step=9600 epoch=9 loss=0.5135 pred=0.0002 embed_std=0.670
[train] step=9700 epoch=9 loss=0.4880 pred=0.0003 embed_std=0.684
[train] step=9800 epoch=9 loss=0.4969 pred=0.0003 embed_std=0.687
[train] step=9900 epoch=9 loss=0.4878 pred=0.0003 embed_std=0.679
[train] step=10000 epoch=9 loss=0.4826 pred=0.0002 embed_std=0.683
[train] step=10100 epoch=9 loss=0.4937 pred=0.0002 embed_std=0.675
[train] step=10200 epoch=9 loss=0.4787 pred=0.0003 embed_std=0.690
[train] step=10300 epoch=9 loss=0.4833 pred=0.0003 embed_std=0.679
[train] step=10400 epoch=9 loss=0.4818 pred=0.0003 embed_std=0.687
[train] step=10500 epoch=10 loss=0.4858 pred=0.0002 embed_std=0.686
[train] step=10600 epoch=10 loss=0.4891 pred=0.0003 embed_std=0.676
[train] step=10700 epoch=10 loss=0.5001 pred=0.0002 embed_std=0.678
[train] step=10800 epoch=10 loss=0.4806 pred=0.0002 embed_std=0.682
[train] step=10900 epoch=10 loss=0.4754 pred=0.0003 embed_std=0.688
[train] step=11000 epoch=10 loss=0.4848 pred=0.0001 embed_std=0.691
[train] step=11100 epoch=10 loss=0.4832 pred=0.0002 embed_std=0.686
[train] step=11200 epoch=10 loss=0.4773 pred=0.0002 embed_std=0.681
[train] step=11300 epoch=10 loss=0.5030 pred=0.0002 embed_std=0.676
[train] step=11400 epoch=10 loss=0.4833 pred=0.0001 embed_std=0.686
[train] step=11500 epoch=10 loss=0.4761 pred=0.0002 embed_std=0.682
[train] step=11600 epoch=11 loss=0.4797 pred=0.0002 embed_std=0.678
[train] step=11700 epoch=11 loss=0.4778 pred=0.0002 embed_std=0.682
[train] step=11800 epoch=11 loss=0.4781 pred=0.0002 embed_std=0.686
[train] step=11900 epoch=11 loss=0.4922 pred=0.0002 embed_std=0.688
[train] step=12000 epoch=11 loss=0.4889 pred=0.0001 embed_std=0.680
[train] step=12100 epoch=11 loss=0.5058 pred=0.0002 embed_std=0.675
[train] step=12200 epoch=11 loss=0.4824 pred=0.0001 embed_std=0.681
[train] step=12300 epoch=11 loss=0.4840 pred=0.0002 embed_std=0.685
[train] step=12400 epoch=11 loss=0.4905 pred=0.0002 embed_std=0.684
[train] step=12500 epoch=11 loss=0.4999 pred=0.0002 embed_std=0.675
{
  "checkpoint": "runs/base_diverse.pt",
  "steps": 12600,
  "final": {
    "step": 12500,
    "epoch": 11,
    "loss": 0.49987,
    "pred_loss": 0.00017,
    "var_loss": 0.3264,
    "cov_loss": 4.33273,
    "embed_std": 0.67529,
    "elapsed_s": 295.8
  },
  "elapsed_s": 298.2
}
[eval]       layout:0 frozen:  10.0% +/- 3.3 (20.3s)
[eval]       layout:0  adapt:   3.3% +/- 3.3 (29.7s)
[eval]     layout:100 frozen:  13.3% +/- 6.7 (19.7s)
[eval]     layout:100  adapt:  13.3% +/- 6.7 (26.6s)
[eval]     layout:101 frozen:   6.7% +/- 6.7 (20.8s)
[eval]     layout:101  adapt:   6.7% +/- 6.7 (27.0s)
[eval]     layout:102 frozen:  10.0% +/- 3.3 (19.9s)
[eval]     layout:102  adapt:  10.0% +/- 3.3 (25.9s)
wrote runs/suite_layout.json
[train] step=0 epoch=0 loss=1.2464 pred=0.3559 embed_std=0.001
[train] step=100 epoch=1 loss=0.9005 pred=0.0649 embed_std=0.001
[train] step=200 epoch=3 loss=0.8919 pred=0.0859 embed_std=0.007
[train] step=300 epoch=4 loss=0.8988 pred=0.0913 embed_std=0.000
[train] step=400 epoch=6 loss=0.8929 pred=0.0903 embed_std=0.000
[train] step=500 epoch=7 loss=0.8933 pred=0.0897 embed_std=0.001
